Username,Tweet,Timestamp
@sureshsolanki02,"""विश्व विजयी भारत...!""

#ChampionsTrophy2025 के फाइनल मैच में न्यूजीलैंड को पराजित कर विश्व विजयी बनने पर भारतीय क्रिकेट टीम की सभी खिलाड़ियों को हार्दिक बधाई एवं शुभकामनाएँ।",2025-03-10T04:35:55.000Z
@saumenganguly7,"Congratulations 
#ChampionsTrophy2025 #TeamIndia
#IndiaWantsMamataDi",2025-03-10T04:29:00.000Z
@smit_sachi,"Wow moment...
#ViratKohli𓃵 
#ChampionsTrophy2025",2025-03-10T04:25:55.000Z
@ramanx24,"#NewProfiIePic 
#ChampionsTrophy2025",2025-03-10T04:43:29.000Z
@panday_basant,#ChampionsTrophy2025 #ChampionsTrophy,2025-03-10T04:41:02.000Z
@IndiaNewsUP_UK,"Champions Trophy Final 2025 : टीम इंडिया की जीत के बाद Rohit-Virat ने क्रिकेट फैंस को दे दिया झटका! 
#indvsnzfinal #INDvsNZ #ChampionsTrophy #ChampionsTrophy2025 #ChampionsTrophyFinal  #RohitSharma𓃵 #ViratKohli𓃵 Congratulations Team India",2025-03-10T04:30:04.000Z
@mydurgeshshukla,"उम्र कहां मायने रखती है यार,
मायने रखता है बस भारतीय होना... 

#ChampionsTrophy2025",2025-03-10T04:38:56.000Z
@Varalakshmikvel,"ஐசிசி சாம்பியன்ஸ் டிராபி 2025 கிரிக்கெட் தொடரின் இறுதிப் போட்டியில் நியூசிலாந்து அணியை வீழ்த்தி சாம்பியன் பட்டத்தை வென்றிருக்கும் இந்திய அணி வீரர்கள் அனைவருக்கும் எனது மனமார்ந்த பாராட்டுகளை தெரிவித்துக் கொள்கிறேன்.
 
- TTVDhinakaran
#ChampionsTrophy2025 #TeamIndia",2025-03-10T04:25:27.000Z
@india24x7livetv,"""भाई (विराट कोहली) हम दोनों के रिटायरमेंट की बातें बोल रहे थे ये लोग"" , मैदान में विराट कोहली से बोलते दिखे कप्तान रोहित शर्मा
@ImRo45
 @imVkohli
 #ChampionsTrophy2025 #INDvsNZ  #RohitSharma   #भारतीयक्रिकेटटीम",2025-03-10T04:29:21.000Z
@Sunilmehra0598,"एक और ऐतिहासिक जीत!

भारतीय क्रिकेट टीम को ICC #ChampionsTrophy2025 जीतने पर टीम इंडिया सहित समस्त क्रिकेट प्रेमियों को हार्दिक बधाई! इस शानदार जीत ने एक बार फिर हमारे देश का मान बढ़ाया है।
#जयभीम #जयभारत
#INDvNZ #TeamIndia 
#ChampionsTrophyFinal
#ChampionsTrophy2025",2025-03-10T04:27:47.000Z
@seheli_bachhar,"Well Done sir 
A railway officer at Borivali station, Mumbai, heroically saved a woman’s life in a split second.  

His courage and quick action deserve recognition and a well-earned reward!

#indvsnzfinal #PKMKBForever #ChampionsTrophy2025 #StupidMoment #MondayMotivation",2025-03-10T04:31:30.000Z
@GOKULSAIN523799,"Success at the #ChampionsTrophy means so much for Virat Kohli 
#ChampionsTrophy2025 
#ViratKohli𓃵 
#ICC 
#ChampionsTrophy",2025-03-10T04:27:24.000Z
@14Lilmask6739,"https://youtu.be/camawpbsJwI?si=SK-ztxjy-JnegRnM…
#ChampionsTrophy2025 #PPKritMyPleasureConcert",2025-03-10T04:33:57.000Z
@cse_aspirantss,"Which blood cells are called 'Soldiers' of the body ? 

Comment your answer  

#UPSC #upscprelims2025 #bpsc70th #Mppsc #uppsc   #ChampionsTrophy2025 #INDvsNZ #ChampionsTrophy #IndiaWins",2025-03-10T04:27:30.000Z
@pramodDagal,"भारत की पहली महिला शिक्षिका, समाज सुधारक और नारी सशक्तिकरण की प्रतीक सावित्रीबाई फुले जी की पुण्यतिथि पर शत-शत नमन। 
#सावित्रीबाई_फुले
#ChampionsTrophy2025",2025-03-10T04:43:49.000Z
@divya251thakur,"Shameless
Big news from Indore.
Stone pelting, arson and vandalism in celebration of India's victory in Champions Trophy
After all, who has a problem with India's victory?

#ChampionsTrophy2025
#OPPOReno13SkyBlue #India
#INDvsNZ
#RohitSharma",2025-03-10T04:27:31.000Z
@jb_08nala,"Hip Hip Hurray.
Congratulations #TeamIndia for winning #ChampionsTrophy2025 .",2025-03-10T04:41:28.000Z
@NeerajRoyKumar,"Pune
#ChampionsTrophy2025",2025-03-10T04:32:36.000Z
@TheAllr0under,"GOOD MORNING INDIA..!!

#ChampionsTrophy2025",2025-03-10T04:39:53.000Z
@Supriyas_tadka,"Monday morning ....

#ChampionsTrophy2025 #RohitSharma𓃵 #KLRahul",2025-03-10T04:26:14.000Z
@newswalemuni,"#ChampionsTrophy2025 जीतने के बाद जब #indiancricket टीम होटल पहुंची तो #RohitSharma𓃵 #ViratKohli𓃵 #HardikPandya समेत सभी खिलाड़ियों का फूल बरसाकर किया गया स्वागत. 
@ShreyasIyer15
 करने लगे बीट पर डांस. 
@TajHotels",2025-03-10T04:32:38.000Z
@stakenewsindia,"It's the morning after India's #ChampionsTrophy triumph 

How's everyone doing? 

#ChampionsTrophy2025 #ChampionsTrophyFinal",2025-03-10T04:27:24.000Z
