Username,Tweet,Timestamp,Processed_Tweet,Dominant_Topic
@sureshsolanki02,"""विश्व विजयी भारत...!""

#ChampionsTrophy2025 के फाइनल मैच में न्यूजीलैंड को पराजित कर विश्व विजयी बनने पर भारतीय क्रिकेट टीम की सभी खिलाड़ियों को हार्दिक बधाई एवं शुभकामनाएँ।",2025-03-10T04:35:55.000Z,वशव वजय भरत फइनल नयजलड परजत वशव वजय बनन भरतय करकट खलडय हरदक बधई शभकमनए,4
@saumenganguly7,"Congratulations 
#ChampionsTrophy2025 #TeamIndia
#IndiaWantsMamataDi",2025-03-10T04:29:00.000Z,congratulation,1
@smit_sachi,"Wow moment...
#ViratKohli𓃵 
#ChampionsTrophy2025",2025-03-10T04:25:55.000Z,wow moment,3
@ramanx24,"#NewProfiIePic 
#ChampionsTrophy2025",2025-03-10T04:43:29.000Z,,-1
@panday_basant,#ChampionsTrophy2025 #ChampionsTrophy,2025-03-10T04:41:02.000Z,,-1
@IndiaNewsUP_UK,"Champions Trophy Final 2025 : टीम इंडिया की जीत के बाद Rohit-Virat ने क्रिकेट फैंस को दे दिया झटका! 
#indvsnzfinal #INDvsNZ #ChampionsTrophy #ChampionsTrophy2025 #ChampionsTrophyFinal  #RohitSharma𓃵 #ViratKohli𓃵 Congratulations Team India",2025-03-10T04:30:04.000Z,champion trophy final 2025 इडय rohitvirat करकट झटक congratulation team india,1
@mydurgeshshukla,"उम्र कहां मायने रखती है यार,
मायने रखता है बस भारतीय होना... 

#ChampionsTrophy2025",2025-03-10T04:38:56.000Z,उमर मयन रखत मयन रखत भरतय,3
@Varalakshmikvel,"ஐசிசி சாம்பியன்ஸ் டிராபி 2025 கிரிக்கெட் தொடரின் இறுதிப் போட்டியில் நியூசிலாந்து அணியை வீழ்த்தி சாம்பியன் பட்டத்தை வென்றிருக்கும் இந்திய அணி வீரர்கள் அனைவருக்கும் எனது மனமார்ந்த பாராட்டுகளை தெரிவித்துக் கொள்கிறேன்.
 
- TTVDhinakaran
#ChampionsTrophy2025 #TeamIndia",2025-03-10T04:25:27.000Z,ஐசச சமபயனஸ டரப 2025 கரககட தடரன இறதப படடயல நயசலநத அணய வழதத சமபயன படடதத வனறரககம இநதய வரரகள அனவரககம எனத மனமரநத பரடடகள தரவததக களகறன ttvdhinakaran,0
@india24x7livetv,"""भाई (विराट कोहली) हम दोनों के रिटायरमेंट की बातें बोल रहे थे ये लोग"" , मैदान में विराट कोहली से बोलते दिखे कप्तान रोहित शर्मा
@ImRo45
 @imVkohli
 #ChampionsTrophy2025 #INDvsNZ  #RohitSharma   #भारतीयक्रिकेटटीम",2025-03-10T04:29:21.000Z,वरट कहल रटयरमट मदन वरट कहल बलत कपतन रहत शरम रतयकरकटटम,3
@Sunilmehra0598,"एक और ऐतिहासिक जीत!

भारतीय क्रिकेट टीम को ICC #ChampionsTrophy2025 जीतने पर टीम इंडिया सहित समस्त क्रिकेट प्रेमियों को हार्दिक बधाई! इस शानदार जीत ने एक बार फिर हमारे देश का मान बढ़ाया है।
#जयभीम #जयभारत
#INDvNZ #TeamIndia 
#ChampionsTrophyFinal
#ChampionsTrophy2025",2025-03-10T04:27:47.000Z,ऐतहसक भरतय करकट icc जतन इडय सहत समसत करकट परमय हरदक बधई शनदर हमर बढय,0
