Username,Tweet,Timestamp,Processed_Tweet,Dominant_Topic
@AvinashBajya,Our favorite #TeamIndia is going to dominate  Bring it on #ChampionsTrophyFinal #INDvsNZ #indvsnezfinal #RohitSharma #HardikPandya #ViratKohli #iccchampionstrophy2025 #IIFA2025 #riyadh#PPKritMyPleasureConcert #AbhishekMalhan,2025-03-09T03:56:08.000Z,favorite going dominate bring,3
@CNNnews18,"Virat Kohli's Charisma Compared With Lionel Messi And Cristiano Ronaldo: 'They Want To Watch This Guy'

#VK #ViratKohli #LionelMessi #CristianoRonaldo #Cricket #Football",2025-03-09T06:04:04.000Z,virat kohlis charisma compared lionel messi cristiano ronaldo want watch guy,1
@tv9kannada,"INDvsNZ Champions trophy 2025: ಕಿವೀಸ್ ವಿರುದ್ಧ ಭಾರತ ಗೆದ್ದೇ ಗೆಲ್ಲುತ್ತೆ ಚಾಂಪಿಯನ್ಸ್ ಟ್ರೋಫಿ ನಮ್ದೇ|#TV9D 

Video Link► https://youtu.be/1OEhwR_Nbw4

#TV9Kannada #INDvsNZ  #RohitSharma #ViratKohli #cricket #championstrophy2025",2025-03-09T04:37:22.000Z,indvsnz champion trophy 2025 ಕವಸ ವರದಧ ಭರತ ಗದದ ಗಲಲತತ ಚಪಯನಸ ಟರಫ ನಮದ video link,1
@heyybebo,"#Mahindra & Mahindra has overtaken #Hyundai Motors as India’s 2nd largest carmaker for the first time in February 2025.

#INDvsNZ #NewZealand #ViratKohli #ShreyasIyer #Trump #IndVsNewZealand",2025-03-09T05:04:21.000Z,mahindra overtaken motor india 2nd largest carmaker first time february 2025,3
@dna,"Ahead of #ChampionsTrophy final, Senorita singer #ShawnMendes SHOCKS fans, flaunts #ViratKohli's jersey at Lollapalooza in Mumbai",2025-03-09T03:28:33.000Z,ahead final senorita singer shock fan flaunt jersey lollapalooza mumbai,2
@cpc24x7,"8 teams  2 teams
15th & the final game of the Champions Trophy Final 

Rohit Sharma & Virat Kohli & Co, All the best 

   | Like Share Repost
#INDvNZ | #ChampionsTrophy2025
#RohitSharma | #ViratKohli | #INDvsNZ",2025-03-09T04:43:42.000Z,team team 15th final game champion trophy final rohit sharma virat kohli best like share repost,3
@HirendraFoji,"भारतीय टीम के कप्तान रोहित शर्मा और
भारतीय टीम को फाइनल मैच के लिए शुभकामनाएं 

#ChampionsTrophyFinal #INDvsNZ
#RohitSharma #ViratKohli 
#TeamIndia #ChampionsTrophy2025",2025-03-09T03:38:53.000Z,भरतय कपतन रहत शरम भरतय फइनल शभकमनए,4
@prakash7864,"आज इतिहास बनाने का समय है...
#ChampionsTrophy2025 #ViratKohli #TeamIndia",2025-03-09T02:51:49.000Z,इतहस बनन समय,3
@SustainStree,"Today is the #ICCChampionsTrophy Final, and one thing is certain—
@imVkohli
 is smashing a six! 

While we hope for that, make a guaranteed winning switch to a #menstrualcup or #periodpanty

Link in bio.

#ViratKohli #RohitSharma #TeamIndia #Cricket #IndiaVsNewZealand #Final",2025-03-09T05:29:15.000Z,today final one thing certain smashing six hope make guaranteed winning switch link bio,4
@DBhaskarHindi,"#मध्यप्रदेश: क्यूआर कोड स्कैन कर पढ़ सकेंगे बजट,जनता के हाथ मोहन सरकार का बजट
.
.
#MadhyaPradesh #MPBudget2025 #BudgetSession #Budget2025 #MohanYadav #Prabhas #Avisha #GRAMMYs #Oscars #WWERaw #Picoin #ViratKohli #INDvsNZ #ChampionsTrophy2025",2025-03-09T05:30:00.000Z,यपरदश कयआर सकन सकग बजटजनत महन सरकर बजट,1
@Monish09cric,"SHAWN MENDES WEARING VIRAT KOHLI'S JERSEY WHILE PERFORMING IN MUMBAI. 

#RohitSharma #ShubmanGill  #ShreyasIyer #ViratKohli #IPL #KLRahul  #INDvsNZ #ChampionsTrophy2025",2025-03-09T03:43:07.000Z,shawn mendes wearing virat kohlis jersey performing mumbai,2
@learning45378,"जय श्री गणेश भगवान 

बप्पा अपना आशीर्वाद देना भारतीय क्रिकेट टीम को 

 #ChampionsTrophy2025 
#INDvsNZ 
#ViratKohli 
#RohitSharma",2025-03-09T03:35:14.000Z,गणश भगवन बपप अपन आशरवद भरतय करकट,4
@K_kantjaju12,"Hitman Rohit

#Giveaway #Cricket #ViratKohli #RohitSharma #CricketTwitter #indvsnzfinal
@Cricket_Core
 

TEAM INDIA  - Because more than any individual I want the team to WIN it first ",2025-03-09T05:35:48.000Z,hitman rohit team india individual want team win first,0
@ZeeNewsEnglish,Who Will Replace Injured #ViratKohli In #INDvsNZ #ChampionsTrophy2025 Final?,2025-03-09T05:55:02.000Z,replace injured final,3
@Hrraliya7231,"उद्देश्य विजय प्राप्त करना हो तो,
हर बदला स्वतः पूर्ण हो जाता है...
#ViratKohli
#ChampionsTrophyFinal #INDvsNZ #ICCChampionsTrophy #iccchampionstrophy2025",2025-03-09T05:47:17.000Z,उददशय वजय परपत करन बदल सवत परण,1
@iRitupriya_,"मंगल टिका भी लगा दिया..
किसी की नजर ना लगे काला टीका भी लगा दिया..
Finally champion  trophy  hmara hi hoga
All the best team  India 
#INDvsNZ  #iccchampionstrophy2025 #ViratKohli #RohitSharma",2025-03-09T03:50:21.000Z,मगल नजर finally champion trophy hmara hoga best team india,2
@rudraO1,"I support both of player 

“King Kohli” “Hitman Rohit”

#Giveaway #Cricket #ViratKohli #RohitSharma #CricketTwitter #indvsnzfinal
@KingkohliO18
 
@MSDFans777",2025-03-09T04:44:35.000Z,support player king kohli hitman rohit,4
